100.00,-1.00
100.10,-1.00
100.20,-1.00
100.30,-1.00
100.40,-1.00
100.50,-1.00
100.60,-1.00
100.70,-1.00
100.80,-1.00
100.90,-1.00
101.00,-1.00
101.10,-1.00
101.20,-0.99
101.30,-0.99
101.40,-0.99
101.50,-0.99
101.60,-0.99
101.70,-0.99
101.80,-0.99
101.90,-0.98
102.00,-0.98
102.10,-0.98
102.20,-0.98
102.30,-0.98
102.40,-0.97
102.50,-0.97
102.60,-0.97
102.70,-0.96
102.80,-0.96
102.90,-0.96
103.00,-0.96
103.10,-0.95
103.20,-0.95
103.30,-0.95
103.40,-0.94
103.50,-0.94
103.60,-0.93
103.70,-0.93
103.80,-0.93
103.90,-0.92
104.00,-0.92
104.10,-0.91
104.20,-0.91
104.30,-0.90
104.40,-0.90
104.50,-0.89
104.60,-0.89
104.70,-0.88
104.80,-0.88
104.90,-0.87
105.00,-0.87
105.10,-0.86
105.20,-0.86
105.30,-0.85
105.40,-0.85
105.50,-0.84
105.60,-0.83
105.70,-0.83
105.80,-0.82
105.90,-0.82
106.00,-0.81
106.10,-0.80
106.20,-0.80
106.30,-0.79
106.40,-0.78
106.50,-0.78
106.60,-0.77
106.70,-0.76
106.80,-0.75
106.90,-0.75
107.00,-0.74
107.10,-0.73
107.20,-0.72
107.30,-0.72
107.40,-0.71
107.50,-0.70
107.60,-0.69
107.70,-0.69
107.80,-0.68
107.90,-0.67
108.00,-0.66
108.10,-0.65
108.20,-0.64
108.30,-0.64
108.40,-0.63
108.50,-0.62
108.60,-0.61
108.70,-0.60
108.80,-0.59
108.90,-0.58
109.00,-0.58
109.10,-0.57
109.20,-0.56
109.30,-0.55
109.40,-0.54
109.50,-0.53
109.60,-0.52
109.70,-0.51
109.80,-0.50
109.90,-0.49
110.00,-0.48
110.10,-0.47
110.20,-0.46
110.30,-0.45
110.40,-0.44
110.50,-0.43
110.60,-0.42
110.70,-0.41
110.80,-0.40
110.90,-0.39
111.00,-0.38
111.10,-0.37
111.20,-0.36
111.30,-0.35
111.40,-0.34
111.50,-0.33
111.60,-0.32
111.70,-0.31
111.80,-0.30
111.90,-0.29
112.00,-0.28
112.10,-0.27
112.20,-0.26
112.30,-0.25
112.40,-0.24
112.50,-0.23
112.60,-0.22
112.70,-0.21
112.80,-0.20
112.90,-0.18
113.00,-0.17
113.10,-0.16
113.20,-0.15
113.30,-0.14
